id;JAVA;Genie Logiciel;Calcul Distribue;Finance;IA;Theorie Decision;Graphes;Programmation Lineaire;Allemand;LV2 Espagnol;Anglais;Communication;Marketing;Architecture;C++;Compilation
1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
2;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;
3;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;
4;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;
5;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;0;
6;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;
7;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
8;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;1;
9;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;
10;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0;0;
11;1;1;1;1;1;0;0;0;0;1;3;1;1;0;0;1;
12;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;
13;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;
14;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
15;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;
16;1;1;1;1;1;0;1;0;0;1;1;1;1;0;0;0;
17;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
18;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;
19;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;
20;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
21;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;
22;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
23;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;
24;1;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;
25;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;
26;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;
27;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;
28;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
29;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;
30;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;
31;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;
32;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;
33;0;1;0;0;1;1;1;1;0;1;1;1;0;0;0;1;
34;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;
35;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;
36;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0;0;
37;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;
38;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;
39;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;
40;0;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;
41;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;
42;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;
43;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;
44;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;
45;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;
46;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;0;
47;1;1;1;1;1;0;0;1;0;1;1;3;0;0;1;0;
48;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;
49;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;
50;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;
51;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;1;
52;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
53;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;0;
54;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;
55;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;0;
56;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;0;
57;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
