id;Java;Genie logiciel;IA;Calcul distribue;Finance;Architecture;C++;Compilation;Programme linéaire;Graphes;Communication;Theorie Decision;Marketing;Anglais;Allemand;Espagnol;
0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;
1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;
2;1;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;
3;1;1;1;0;1;1;0;1;0;0;0;1;1;1;0;1;
4;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;
5;1;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;
6;1;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0;
7;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;0;
8;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;
9;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;
10;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;
11;1;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;
12;0;1;1;0;1;0;1;1;1;1;0;0;0;1;0;1;
13;1;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;
14;1;0;1;1;1;1;0;1;0;0;1;0;1;1;0;0;
15;1;0;1;1;0;1;1;0;0;0;1;0;0;1;0;0;
16;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;
17;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;
18;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;
19;1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;
20;0;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;
21;1;1;1;0;1;1;1;0;0;0;1;1;1;0;1;0;
22;1;1;1;0;1;0;1;1;1;0;1;1;0;1;0;0;
23;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;
24;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;0;
25;1;1;1;1;0;1;0;1;0;1;1;1;0;1;0;0;
26;1;1;1;1;0;1;1;0;0;0;1;1;0;1;0;0;
27;1;0;1;1;1;1;1;0;1;0;0;0;1;1;1;0;
28;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;
29;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;
30;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;
31;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;
32;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;
33;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;
34;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;
35;0;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;
36;1;0;1;0;1;1;1;1;1;0;1;0;0;1;0;1;
37;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;0;
38;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;
39;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;
40;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;
41;0;1;1;1;1;1;0;1;0;1;1;0;0;1;1;1;
42;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;
43;1;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;
44;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;
45;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;
46;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;0;
47;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;
48;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;
49;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;0;
50;0;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1;
51;1;1;1;0;1;1;1;0;0;1;1;0;0;1;0;1;
52;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;
53;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;
54;1;1;1;0;1;0;0;0;0;1;1;0;1;1;1;1;
55;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;
56;1;1;0;1;1;0;1;0;0;1;1;0;1;1;1;0;
57;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;
58;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;
59;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;
60;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;
61;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;0;
62;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;
63;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;
64;0;1;0;1;0;0;0;0;1;0;1;1;0;1;1;0;
65;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;1;
66;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;
67;1;0;1;1;1;1;0;1;1;1;0;0;1;1;0;0;
68;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;0;
69;1;1;1;1;0;0;1;1;0;0;0;1;1;1;0;1;
70;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;
71;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;
72;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;
73;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;0;
74;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;0;
75;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;
76;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;
77;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;
78;1;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;
79;1;0;1;1;1;0;0;1;1;0;0;0;0;1;1;0;
80;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;
81;1;1;1;1;0;0;0;1;1;0;1;1;0;1;0;0;
82;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;
83;1;0;1;0;1;1;1;1;0;0;1;1;1;1;0;0;
84;1;1;1;1;0;0;1;0;0;1;1;0;0;1;0;0;
85;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;
86;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;
87;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;0;
88;1;1;1;1;1;0;0;1;0;1;1;0;1;1;0;1;
89;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;
90;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;
91;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;0;
92;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;
93;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;
94;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;
95;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;
96;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;
97;1;1;1;0;0;0;0;1;0;1;0;0;1;1;1;0;
98;1;1;1;0;1;0;0;1;0;0;1;1;0;1;0;0;
99;1;0;1;1;0;0;1;0;1;1;1;0;1;1;0;0;
